"study_id","first_author","year","journal","country","doi","study_design","sample_size","mean_age","exposure_category","exposure_variable","exposure_type","clock_type","EAA_metric","effect_type","effect_value","CI_lower","CI_upper","SE","p_value","adjusted_model","covariates","conversion_method","yi","sei"
"Lin_2026_iScience","Shiying Lin","2026","iScience","China","10.1016/j.isci.2025.114478","Cross-sectional and prospective observational","384463.0","57.0","Biological aging","PhenoAge; PhenoAge acceleration","Composite clinical biomarker-based biological age","PhenoAge","PhenoAge acceleration (PhenoAge - chronological age)","Hazard ratio","1.024","1.022","1.025","","0.001","Adjusted for age, gender, BMI, ethnicity, smoking status (UK Biobank only), alcohol intake, history of hypertension, history of diabetes, education level, Townsend Deprivation Index (UK Biobank only), MET (UK Biobank only), household income and poverty ratio (NHANES only), and physical activity (NHANES only). NHANES analyses accounted for complex survey design.","Age, gender, BMI, ethnicity, smoking status, alcohol intake, history of hypertension, history of diabetes, education level, Townsend Deprivation Index, MET, household income, poverty ratio, physical activity","","0.0237",""
"UKB-107175","Yiyang Tang","2025","Rev. Cardiovasc. Med.","United Kingdom","10.31083/RCM46778","prospective cohort","311646.0","58.0","biological ageing","telomere length; Klemera-Doubal method biological age acceleration; phenotypic age acceleration","continuous standardized residuals (age acceleration)","Klemera-Doubal method (KDM-BA); phenotypic age (PhenoAge); telomere length (TL)","standard deviation increase in age acceleration or TL","hazard ratio","1.21","1.12","1.29","","0.001","Model 2: adjusted for age, sex, ethnicity, Townsend deprivation index, education levels, body mass index, C-reactive protein, smoking and drinking status, physical activity, sleep and diet patterns, history of hyperlipidemia, hypertension, and diabetes mellitus","age, sex, ethnicity, Townsend deprivation index, education levels, body mass index, C-reactive protein, smoking and drinking status, physical activity, sleep and diet patterns, history of hyperlipidemia, hypertension, diabetes mellitus","biological age residuals regressed on chronological age and standardized (mean=0, SD=1)","0.1906",""
"Aging Cell 2026 Mitchell","Mitchell","2026","Aging Cell","USA","10.1111/acel.70390","In vivo experimental study with male UM-HET3 mice; partial chemical reprogramming treatment via osmotic minipumps","","12.0","Chemical reprogramming cocktail","7c cocktail (repsox, tranylcypromine, valproate, forskolin, CHIR99021, DZNep, TTNPB)","Pharmacological intervention","Transcriptomic clocks (multi-tissue Bayesian Ridge transcriptomic clocks)","Transcriptomic age (tAge)","Difference in transcriptomic age","","","","","","Mixed-effects ANOVA model for transcriptomic age comparison","Treatment (control vs 7c), age group, treatment:age group interaction","","",""
"Liu_2025_NHANES_SII_EAA","Rundong Liu","2025","Epigenetics","USA","10.1080/15592294.2025.2541248","Cohort study (NHANES 1999-2002 subset)","1950.0","63.73","Systemic immune-inflammation index (SII)","SII = platelet count × (neutrophil count / lymphocyte count), scaled per 50 units","Biomarker (inflammation index)","Horvath, Hannum, Skin & Blood, PhenoAge, GrimAge2, DunedinPoAm","HorvathAccel, HannumAccel, Skin&BloodAccel, PhenoAgeAccel, GrimAge2Accel, DunedinPoAm","Regression coefficient (β) per 50-unit increase in SII","0.213","0.155","0.27","","0.0001","Model 3: adjusted for age, gender, race, marital status, education level, poverty-to-income ratio, smoking status, alcohol consumption, BMI, history of diabetes, hypertension, and cancer","Age, gender, race, marital status, education level, poverty-to-income ratio, smoking status, alcohol consumption, BMI, diabetes, hypertension, cancer history","Residual method for EAA calculation","0.213",""
"Wang_2025_Medicine","Wang","2025","Medicine","USA","10.1097/MD.0000000000046520","cross-sectional","10846.0","47.3","dietary flavones","total flavones, apigenin, luteolin intake (mg/day, log-transformed and quartiles)","dietary intake","Phenotypic age (PhenoAge)","PhenoAgeAccel (residuals of phenotypic age regressed on chronological age)","odds ratio","0.904","0.859","0.953","","0.001","Model 3: adjusted for age, sex, BMI, ethnicity, poverty status, education, physical activity, marital status, smoking, alcohol consumption, energy intake, depression, cardiovascular disease, hypertension, diabetes","age, sex, BMI, ethnicity, poverty status, education, physical activity, marital status, smoking status, alcohol consumption, energy intake, depression, cardiovascular disease, hypertension, diabetes","","-0.1008",""
"biology-14-01668","Kallio","2025","Biology","Russia","10.3390/biology14121668","observational cross-sectional","445.0","","environmental conditions and urbanization","extreme cold climate (Yakutia) vs milder climate (Nizhny Novgorod region) and urbanization level (metropolis, industrial city, small towns)","environmental and urbanization factors","Levine PhenoAge","difference between biological age and predicted age from general regression model","effect size (rbc) for age acceleration difference between regions","-0.265","-0.154","0.14","","0.00062","general regression model constructed for all study groups; biological age calculated using PhenoAge model based on 9 blood parameters and chronological age","age, sex (female predominance), region of residence; exclusion of acute/chronic diseases, pregnancy","PhenoAge linear predictor formula as per Levine et al. 2018","-0.265",""
"cancers-18-00111-v2","Shiqi Hui","2026","Cancers","USA","10.3390/cancers18010111","cross-sectional","16628.0","49.03","Dietary inflammation and oxidation","Dietary Inflammatory Index (DII); Dietary Oxidative Balance Score (DOBS); combined DII/DOBS diet category","dietary pattern scores","PhenoAge","PhenoAge acceleration","odds ratio","2.19","1.29","3.72","","0.004","Fully adjusted model including gender, race, education level, PIR, BMI, cotinine, alcohol intake, energy intake, hypertension, diabetes, CHD, and survey year","gender, race, education level, poverty income ratio (PIR), BMI, cotinine, alcohol intake, energy intake, hypertension, diabetes, coronary heart disease (CHD), survey year","","0.784",""
"Liu_2025_DOM_UKBiobank","Liu","2025","Diabetes, Obesity and Metabolism","United Kingdom","10.1111/dom.70261","prospective cohort study","54418.0","56.9","cardiorespiratory fitness","maximal oxygen uptake (VO2max)","continuous and quartiles","biological age (BA) and phenotypic age (PhenoAge)","age acceleration residuals from regression of BA and PhenoAge on chronological age","hazard ratio","0.72","0.68","0.76","","0.001","fully adjusted for sex, age, ethnicity, smoking status, alcohol status, education level, BMI, overall health rating","sex, age, ethnicity, smoking status, alcohol status, education level, BMI, overall health rating","","-0.3285",""
"Bozack_2026","Anne K. Bozack","2026","npj Aging","USA","10.1038/s41514-025-00298-x","Cross-sectional","1771.0","64.8","Dietary fatty acids","Total fatty acids; saturated fatty acids (SFA); monounsaturated fatty acids (MUFA); polyunsaturated fatty acids (PUFA); omega-3; omega-6; PUFA:SFA ratio; fatty acid subtypes","Dietary intake (24-hour recall)","Horvath1; Horvath2; Hannum; Lin; Zhang; Vidal-Bralo; PhenoAge; GrimAge2; DNAmTL; epiTOC; DunedinPoAm","Epigenetic age acceleration (years or SDs depending on clock)","Beta coefficient (years change in epigenetic age per doubling of intake or per unit increase in ratio)","-1.05","-1.87","-0.22","","0.05","Adjusted for age, age squared, sex, race and ethnicity, BMI, education level, occupation, poverty to income ratio, smoking status, alcohol intake, physical activity, and total energy intake","Age, age2, sex, race/ethnicity, BMI, education, occupation, poverty-income ratio, smoking status, alcohol intake, physical activity, total energy intake","Log2 transformation of fatty acid intake variables; effect estimates represent change per doubling of intake or per unit increase in PUFA:SFA ratio","-1.05",""
"Penha_2026_BMC_Medicine","Penha","2026","BMC Medicine","Australia, Sweden, Italy, Norway","10.1186/s12916-025-04542-9","Nested case-control studies within prospective cohorts","1480.0","56.5","Tobacco smoking","Age-adjusted DNA methylation clocks (Hannum, PhenoAge, DunedinPACE, PCGrimAge), DNAm-inferred packyears","Biomarker (DNA methylation-based epigenetic clocks and smoking scores)","Chronological age clocks (Hannum), Mortality risk clocks (PhenoAge, DunedinPACE, PCGrimAge)","Age acceleration residuals (age-adjusted DNAm clocks)","Odds ratio per 1 standard deviation increase","1.66","1.44","1.91","","0.001","Adjusted for age, sex, cohort, detailed smoking information (duration, cigarettes per day, years since quitting), BMI, and DNAm-inferred immune cell proportions","Age, sex, cohort, smoking duration, cigarettes per day, years since quitting smoking, BMI, immune cell proportions (monocytes, NK, B, CD4T, CD8T cells)","","0.507",""
"EATLancet-2026-npjAging","Jie Li","2026","npj Aging","UK","10.1038/s41514-025-00306-0","prospective cohort","87282.0","56.1","dietary patterns","EAT-Lancet diet index; plant-based diet index (PDI); healthy plant-based diet index (hPDI); unhealthy plant-based diet index (uPDI)","dietary pattern adherence scores","Klemera-Doubal biological age (KDM-BA); PhenoAge; telomere length (TL)","KDM-BA acceleration; PhenoAge acceleration; telomere length percent change","beta coefficient (years or % change per 1 SD increment in diet score)","-0.53","-0.57","-0.49","","0.001","Model 2: adjusted for age, sex, race, Townsend deprivation index, BMI, smoking status, healthy drinking, physical activity, healthy sleep score, cardiovascular disease, cancer, diabetes, high cholesterol, hypertension, respiratory disease, and use of antihypertensive, lipid-lowering, and diabetes medications","age, sex, race, Townsend deprivation index, BMI, smoking status, healthy drinking, physical activity, healthy sleep score, cardiovascular disease, cancer, diabetes, high cholesterol, hypertension, respiratory disease, medication use","","-0.53",""
"Lin2026_Epigenomics","Wan-Yu Lin","2026","Epigenomics","Taiwan","10.1080/17501911.2025.2606041","Cross-sectional mediation analysis","2366.0","49.36","Non-genetic environmental factors","BMI; chronological age; sex; smoking; drinking alcoholic beverages; regular exercise; educational attainment","Lifestyle and demographic factors","","","Mediation effect","","","","","6.6e-09","Adjusted for seven non-genetic factors (sex, age, BMI, smoking, drinking, exercise, education) and 11 immune-cell fractions (excluding neutrophils due to multicollinearity)","Sex, chronological age, BMI, smoking status, drinking status, regular exercise, educational attainment, 11 immune-cell fractions (basophils, memory B-cells, naïve B-cells, memory CD4+ T-cells, naïve CD4+ T-cells, memory CD8+ T-cells, naïve CD8+ T-cells, eosinophils, monocytes, natural killer cells, regulatory T-cells)","DNA methylation beta values calculated using Illumina noob normalization method; mediation tested using HDMT method; multiple-mediator model with stepwise regression and VIF <5","",""
"Tao_2026","Meng-Hua Tao","2026","Frontiers in Aging","United States","10.3389/fragi.2025.1710324","Population-based cohort study with mediation analysis","5972.0","65.1","Cancer history","Cancer history status (yes/no)","Disease history","Phenotypic Age (PhenoAge) based on clinical biomarkers","PhenoAge Acceleration (PhenoAgeAccel) residuals from regression of PhenoAge on chronological age","Hazard Ratio (HR) for mediation indirect effect","1.02","1.01","1.03","","0.05","Adjusted for race/ethnicity, sex, educational level, alcohol drinking status, smoking status, BMI, physical activity, total energy intake, comorbidity index, and survey weight","race/ethnicity, sex, educational level, alcohol drinking status, smoking status, BMI, physical activity, total energy intake, comorbidity index, survey weight","","0.0198",""
"gbaf194","Li","2025","The Journals of Gerontology, Series B: Psychological Sciences and Social Sciences","Australia","10.1093/geronb/gbaf194","prospective cohort","6208.0","58.8","social relationships","social isolation index; living alone; social activity (hours/week); marital status; number of relatives; number of friends","social factors","PCPhenoAge; PCGrimAge; bAge; DunedinPACE","age-adjusted standardized residuals","beta coefficient (standardized)","0.03","0.01","0.05","","0.02","Model 2: adjusted for age, sex, country of birth, socioeconomic status, education level, smoking status, smoking pack-years (log), alcohol consumption (spline), physical activity, BMI, diet quality","age, sex, country of birth, socioeconomic status, education level, smoking status, smoking pack-years, alcohol consumption, physical activity, BMI, diet quality","residuals from regression on chronological age, standardized to mean 0 and SD 1","0.03",""
"journal.pone.0336127","Ysrael MC","2026","PLOS One","United States of America","10.1371/journal.pone.0336127","observational, cross-sectional with epigenetic clock development and differential methylation analysis","44.0","9.0","disease status","sinusoidal obstructive syndrome (SOS) diagnosis","binary (SOS-positive vs SOS-negative)","species-specific epigenetic clock (CheetahClock) and FelidClock","DNA methylation age acceleration (difference between predicted DNAm age and chronological age)","differential methylation (epigenetic age acceleration not explicitly quantified as effect size)","","","","","0.05","limma linear model with Benjamini-Hochberg false discovery rate correction","age > 3 years to avoid age of sexual maturity bias; tissue type (liver primarily); sex not explicitly stated as covariate","log-linear age transformation accounting for accelerated aging before sexual maturity","",""
"kwaf006","Wenli Ni","2025","American Journal of Epidemiology","USA","10.1093/aje/kwaf006","cohort","457.0","7.9","ambient air pollution","prior-365-day average PM2.5, NO2, O3; lifetime average PM2.5, NO2, O3; residential proximity to major roadways","long-term ambient air pollution exposure","Horvath, intrinsic, Skin&Blood","HorvathEAA, IEAA, Skin&BloodEAA","difference in years EAA per IQR increase in exposure","-0.26","-0.49","-0.03","","0.001","adjusted for sex, BMI z score, child race and ethnicity, maternal education, household income, household smoking, season, and estimated cell types for HorvathEAA and Skin&BloodEAA","sex, BMI z score, child race and ethnicity, maternal education, household income, household smoking, season, estimated blood cell types","","-0.26",""
"Xu_2026_Mediators_of_Inflammation","Yangyu Xu","2026","Mediators of Inflammation","United States","10.1155/mi/9987170","cross-sectional","1053.0","","inflammatory marker","neutrophil percentage-to-albumin ratio (NPAR)","continuous and tertiles (T1, T2, T3)","Klemera–Doubal method (KDM) and Phenotypic age (PhenoAge)","biological age acceleration (difference between BA and chronological age)","beta coefficient (linear regression) and odds ratio (logistic regression) for accelerated aging","0.86","0.39","1.32","","0.001","Model 4: adjusted for age, gender, race, education level, marital status, poverty–income ratio, smoking status, alcohol consumption, physical activity, BMI, hypertension, diabetes, and cancer history","age, gender, race, education level, marital status, poverty–income ratio, smoking status, alcohol consumption, physical activity, BMI, hypertension, diabetes, cancer history","","0.86",""
"Vasconcelos_2025","Ana Gabriela Vasconcelos","2025","Epigenetics","USA","10.1080/15592294.2025.2539234","epigenome-wide association study (EWAS) meta-analysis","3677.0","60.0","Genetic trait","Sickle cell trait (SCT) status (heterozygous for rs334)","Genetic carrier status","Horvath, Hannum, PhenoAge, GrimAge, DunedinPACE","Epigenetic age acceleration residuals","Difference in epigenetic age acceleration by SCT status","","","","","","Adjusted for age, cell type composition, sex (JHS), first 10 ancestry principal components; sensitivity analyses additionally adjusted for hemoglobin, eGFR, income, education","Age, sex (JHS), cell type composition, genetic ancestry PCs, hemoglobin, eGFR, income, education","Random-effects meta-analysis weighted by inverse variance; epigenetic age calculated using principal components of CpGs","",""
"Ikegame_2025","Ikegame","2025","Neuropsychopharmacology Reports","Japan","10.1002/npr2.70081","longitudinal cohort","122.0","13.5","psychopathological clusters","persistent externalizing problems vs minimal problems","behavioral cluster","","mean standardized DNA methylation level at CpG3 and CpG4 in SLC6A4 promoter","beta coefficient","-0.538","-1.031","-0.044","","0.041","linear mixed-effects model adjusted for age and sex; sex-stratified analysis reported","age, sex (in overall model); sex-stratified models for males and females separately","","-0.538",""
"nutrients-18-00116-v2","Kalmar","2025","Nutrients","Hungary","10.3390/nu18010116","pilot clinical intervention study","8.0","63.0","Vitamin D3 supplementation","30,000 IU vitamin D3 per week for 2 months","supplementation","","","mean difference","-0.01","","","","0.01","Paired t-test comparing DNA-tail average % in mononuclear cells before and after supplementation","None reported; patients under standard oncologic treatment; no control group","","-0.01",""
"oursler-et-al-2025","Oursler","2025","AIDS Research and Human Retroviruses","USA","10.1177/08892229251411059","observational study","1076.0","52.4","epigenetic age acceleration markers","GrimAge acceleration (GrimAA), PhenoAge acceleration (PhenoAA), HannumAge acceleration (HannumAA), HorvathAge acceleration (HorvathAA)","epigenetic clock residuals (EAA markers) dichotomized as >0 vs <0","Horvath, Hannum, PhenoAge, GrimAge","presence of epigenetic age acceleration (EAA > 0) vs absence (EAA < 0)","odds ratio","1.45","1.1","1.92","","0.01","adjusted for age, CD4 count, HIV viral load, smoking, congestive heart failure, chronic obstructive pulmonary disease, liver fibrosis","age, CD4 count, HIV viral load, smoking status, congestive heart failure, chronic obstructive pulmonary disease, liver fibrosis (FIB-4 score)","","0.3716",""
"Yang_2026_PhenoAgeAccel_MetS_Cancer_NHANES","Jiaxiang Yang","2026","The Aging Male","USA","10.1080/13685538.2026.2612796","cross-sectional","12664.0","","Metabolic syndrome","Metabolic syndrome (MetS) defined by NCEP ATP III criteria (≥3 of 5 components: abdominal obesity, hypertriglyceridemia, low HDL-C, elevated blood pressure, elevated fasting glucose)","binary (MetS yes/no)","PhenoAge","PhenoAge acceleration (PhenoAgeAccel) residual from regression of PhenoAge on chronological age","odds ratio","1.338","1.074","1.666","","0.01","Model III: adjusted for age, gender, race, education, poverty-income ratio, marital status, smoking, alcohol consumption, BMI group, history of cardiovascular disease and diabetes","age, gender, race/ethnicity, education level, poverty-income ratio, marital status, smoking status, alcohol consumption, BMI group, history of cardiovascular disease, history of diabetes","","0.291",""
"s12864-025-11209-5","Wang","2025","BMC Genomics","Europe (Spain, UK, France, Lithuania, Norway, Greece)","10.1186/s12864-025-11209-5","Observational cross-sectional within a longitudinal birth cohort subcohort","1001.0","7.9","Child BMI","Child body mass index (BMI) z-score","Anthropometric measure","Measured relative telomere length (qPCR), DNAmTL (DNA methylation-based estimator), Polygenic risk scores (Li’s PRS and Codd’s PRS)","Relative telomere length (qPCR)","Standardized regression coefficient","","","","","0.001","Adjusted for child age, sex, blood cell composition, first four genetic principal components, gestational age, birth weight, maternal pre-pregnancy BMI, maternal smoking status, maternal education level, parental smoking, family affluence score, child physical activity level, child Mediterranean diet score","Child age, sex, blood cell composition, genetic PCs, gestational age, birth weight, maternal pre-pregnancy BMI, maternal smoking status, maternal education, parental smoking, family affluence, child physical activity, child diet","","",""
"s12864-025-12271-9","Anand","2025","BMC Genomics","","10.1186/s12864-025-12271-9","Model development and validation using GTEx dataset","987.0","","DNA methylation-based epigenetic clocks","Epigenetic age predicted by EnsembleNaive and EnsembleLR clocks integrating eight DNAm clocks","Biological age estimation via DNA methylation","EnsembleAge (EnsembleNaive and EnsembleLR) combining Hannum, Horvath, PhenoAge, Skin Blood, Ying CausAge, Han 2020, AltumAge, Zhang 2019","Epigenetic Age Acceleration (EAA) defined as Epigenetic Age - Chronological Age","Median Absolute Error (MeAE) and slope of predicted vs chronological age","4.04","","","","","EnsembleLR model trained with L2 linear regression with alpha=0.1 on oversampled GTEx data using SMOTE","Age group oversampling via SMOTE; exclusion of cancer and HIV samples; multi-tissue data from nine organs","SMOTE for age group imbalance; IterativeImputer for missing CpG methylation values","",""
"s12885-025-13760-6","Liu","2025","BMC Cancer","United States","10.1186/s12885-025-13760-6","retrospective cohort study","2643.0","62.32","Phenotypic age acceleration","Phenotypic age acceleration (PAA) status (positive residuals vs negative residuals) and age acceleration residual (AAR) continuous","biological age acceleration biomarker","Phenotypic age (based on 10 physiological biomarkers)","Phenotypic age acceleration residuals (PAA) and age acceleration residual (AAR)","Hazard Ratio","2.07","1.69","2.54","","0.001","Model 3: adjusted for age, gender, race, marital status, poverty income ratio, education level, BMI, Healthy Eating Index-2015, physical activity, smoking status, alcohol intake, cardiovascular disease, hypertension, hyperlipidemia, and diabetes","age, gender, race, marital status, poverty income ratio, education level, BMI, HEI-2015, physical activity, smoking status, alcohol intake, cardiovascular disease, hypertension, hyperlipidemia, diabetes","","0.727",""
"s12889-024-21249-3","Xia","2025","BMC Public Health","United States","10.1186/s12889-024-21249-3","cross-sectional","3925.0","45.95","Sugar-sweetened beverage (SSB) intake energy and timing","Energy intake from SSB (kcal/day) categorized as non-intake (0 kcal), low-moderate intake (1–299 kcal), moderate-high intake (≥300 kcal); timing of SSB intake (dawn-to-forenoon, noon-to-afternoon, dusk-to-night)","dietary intake","Phenotypic age (PhenoAge)","PhenoAgeAccel (phenotypic age acceleration)","beta coefficient (linear regression)","0.179","0.086","0.271","","0.001","Model 3: adjusted for gender, age, race/ethnicity, education level, marital status, poverty income ratio, smoking status, drinking status, recreational activities, history of diabetes, hypertension, cardiovascular disease, stroke, body roundness index (BRI), and body mass index (BMI)","gender, age, race/ethnicity, education level, marital status, poverty income ratio, smoking status, drinking status, recreational activities, history of diabetes, hypertension, cardiovascular disease, stroke, BRI, BMI","","0.179",""
"s12889-025-21430-2","Zhan","2025","BMC Public Health","United States","10.1186/s12889-025-21430-2","cross-sectional","15075.0","46.7","systemic inflammation; phenotypic age acceleration","Systemic Immune-inflammation Index (SII); Phenotypic Age Acceleration (PhenoAgeAccel)","biomarker","Phenotypic Age","PhenoAgeAccel (Phenotypic Age - chronological age)","adjusted odds ratio","1.56","1.31","1.85","","0.001","Model 3: adjusted for sex, age, race/ethnicity, education level, marital status, family poverty income ratio, BMI, alcohol drinking status, smoking status, diabetes, hypertension, and survey cycle","sex, age, race/ethnicity, education level, marital status, family poverty income ratio, BMI, alcohol drinking status, smoking status, diabetes, hypertension, survey cycle","","0.444",""
"s12889-025-22053-3","Liu","2025","BMC Public Health","United States","10.1186/s12889-025-22053-3","cross-sectional","4282.0","50.01","Cardiometabolic index (CMI)","CMI (ln-transformed and quartiles)","continuous and categorical","biological age derived from 8 biomarkers (clinical biochemical markers)","BioAgeAccel (biological age acceleration = biological age - chronological age)","beta coefficient (years increase in BioAgeAccel per unit increase in lnCMI)","1.16","1.02","1.31","","0.0001","Model 3: adjusted for age, sex, ethnicity, family poverty-to-income ratio, education level, hypertension, diabetes, smoking status, alcohol consumption","age, sex, ethnicity, family PIR, education level, hypertension, diabetes, smoking status, alcohol consumption","natural log transformation of CMI; quartile categorization","1.16",""
"s12891-025-09298-0","Tan","2025","BMC Musculoskeletal Disorders","China","10.1186/s12891-025-09298-0","retrospective observational study","4275.0","60.62","modifiable lifestyle factors","exercise frequency; smoking status; diet; alcohol consumption; BMI","clinical and lifestyle factors","bone density age clock","bone density age acceleration (BDAA)","regression coefficient (β)","0.073","","","","2e-16","linear regression of predicted bone density age on chronological age; multivariable logistic regression adjusted for age, sex, BMI, exercise frequency, OSTA score, post-menopausal years (in women), smoking status, drinking frequency, diet, history of hypertension and diabetes","age, sex, BMI, exercise frequency, OSTA score, post-menopausal years (women), smoking status, drinking frequency, diet, hypertension, diabetes","bone density age acceleration calculated as residual from linear regression of predicted bone density age on chronological age","0.073",""
"s12916-024-03832-y","Pan","2025","BMC Medicine","UK","10.1186/s12916-024-03832-y","prospective cohort study","376083.0","57.0","Phenotypic Age Acceleration (PhenoAgeAccel)","PhenoAgeAccel (biologically older > 0 vs biologically younger ≤ 0); also analyzed as continuous per 5 years increase and quartiles","biological age acceleration based on clinical biomarkers","PhenoAgeAccel","PhenoAgeAccel (difference between phenotypic age and chronological age)","hazard ratio","1.77","1.71","1.82","","0.001","Adjusted for age, sex, race, income, education, family history, obesity, smoking status, drinking status, physical activity, healthy diet, sleep status, hypertension, high cholesterol, and cancer","age, sex, race, income, education, family history, obesity, smoking status, drinking status, physical activity, healthy diet, sleep status, hypertension, high cholesterol, cancer","","0.57",""
"s12916-025-04480-6","Ohi","2025","BMC Medicine","Japan","10.1186/s12916-025-04480-6","case-control","296.0","35.0","anxiety disorders","anxiety disorder diagnosis (SAD, PD, GAD)","diagnosis","PCHannumG2013 (primary), ZhangQ2019, PCHorvathS2018, PCPhenoAge, DunedinPACE (sensitivity)","epigenetic age acceleration residuals (DNAm age residuals on chronological age)","regression coefficient (B)","-3.46","","","1.16","0.00314","adjusted for sex, current smoking status, and batch effects (slide variable)","sex, current smoking status, batch effects (slide variable)","principal component-based version of HannumG2013 clock (PCHannumG2013) applied to Illumina MethylationEPIC array data","-3.46","1.16"
"s12916-025-04564-3","Yun","2026","BMC Medicine","South Korea","10.1186/s12916-025-04564-3","prospective cohort","2747.0","51.5","clinical and socioeconomic factors","diabetes, HbA1c, urine glucose, triglycerides, uric acid, education, monthly income","phenotypic and socioeconomic variables","KoMethylNet (neural network-based DNAm aging clock)","residuals from linear regression of epigenetic age on chronological age","beta coefficient","0.81","","","0.19","1.29e-05","linear regression adjusted for age at blood sample collection and sex","age at blood sample collection, sex","EAA calculated as residuals from linear regression of epigenetic age on chronological age","0.81","0.19"
"s12937-025-01079-8","Qi","2025","Nutrition Journal","USA","10.1186/s12937-025-01079-8","cross-sectional","27338.0","46.39","dietary carotenoids","total carotene; α-carotene; β-carotene; β-cryptoxanthin; lycopene; lutein/zeaxanthin","dietary intake (mcg/day, log-transformed average of two 24-hour recalls)","biological aging indices: allostatic load (AL), homeostatic dysregulation (HD), Klemera-Doubal method (KDM), phenoAge (PA)","AL, HD, KDM, PA","beta coefficient","-0.017","","","","0.001","Model 4: adjusted for age, sex, race, year, BMI, smoking, drinking, exercise, education level, income, energy intake, AHEI, retinol intake, nutritional supplements, self-reported cancer, CVD, hypertension, diabetes","age, sex, race, year, BMI, smoking, drinking, exercise, education level, income, energy intake, AHEI, retinol intake, nutritional supplements, self-reported cancer, cardiovascular diseases, hypertension, diabetes","log-transformation of carotenoid intake","-0.017",""
"s12937-025-01245-y","Zhang","2025","Nutrition Journal","USA","10.1186/s12937-025-01245-y","prospective cohort","2958.0","65.58","Dietary fiber intake; Phenotypic age acceleration","Dietary fiber intake (top quartile vs lower quartiles); PhenoAge acceleration (>0 vs ≤0)","dietary intake; epigenetic/phenotypic age acceleration","PhenoAge","PhenoAge acceleration (biological age - chronological age)","hazard ratio","2.12","1.78","2.52","","0.001","fully adjusted for age, sex, ethnicity, marital status, education, smoking, BMI, physical activity, hypertension, diabetes mellitus, cardiovascular disease, and dietary energy intake","age, sex, ethnicity, marital status, education, smoking status, BMI, physical activity, hypertension, diabetes mellitus, cardiovascular disease, dietary energy intake","","0.751",""
"s12944-025-02446-4","Liu","2025","Lipids in Health and Disease","United States","10.1186/s12944-025-02446-4","Cross-sectional analysis of NHANES data","2580.0","38.65","Body fat area; insulin resistance; lipid levels","Visceral fat area (VFA); abdominal subcutaneous fat area (SFA); HOMA-IR; HDL-C","Continuous and categorical (quartiles for fat areas; thresholds for HOMA-IR and HDL-C)","Phenotypic Age (PhenoAge)","Phenotypic Age Acceleration (PhenoAgeAccel)","Odds Ratio (OR) for PhenoAgeAccel","8.339","5.559","12.51","","0.001","Model 3: adjusted for age, gender, race, exercise, alcohol use, smoking status, marital status, education level, income, HbA1c, and histories of hypercholesterolemia, hypertension, diabetes, and cardiovascular disease","Age, gender, race, exercise, alcohol use, smoking status, marital status, education level, income, HbA1c, history of hypercholesterolemia, hypertension, diabetes, cardiovascular disease","Body fat areas converted into quartiles; HOMA-IR threshold 2.73; HDL-C quartiles","2.121",""
"s12967-025-06189-9","Qiu","2025","Journal of Translational Medicine","USA","10.1186/s12967-025-06189-9","cross-sectional","3509.0","49.72","Inflammatory markers and Helicobacter pylori infection","Neutrophil count and systemic inflammatory response index (SIRI)","Blood inflammatory markers","Phenotypic age acceleration (PhenoAgeAccel)","PhenoAgeAccel","hazard ratio","1.07","1.06","1.07","","0.001","Adjusted for chronological age, sex, race, education, BMI, smoking, drinking behavior, comorbidity (hypertension, diabetes, renal failure), and dietary inflammation index (DII)","chronological age, sex, race, education, BMI, smoking, drinking behavior, comorbidity (hypertension, diabetes, renal failure), dietary inflammation index (DII)","","0.068993",""
"s12967-025-07237-0","Srour","2025","Journal of Translational Medicine","Qatar","10.1186/s12967-025-07237-0","prospective cohort with discovery and validation cohorts","140.0","30.5","gestational diabetes mellitus (GDM)","GDM diagnosis by OGTT and clinical criteria","clinical diagnosis","","","differential DNA methylation (beta difference)","","","","","","linear model adjusted for age, BMI, treatment, blood cell proportions, batch effect","age, BMI, treatment, blood cell proportions, batch effect","beta-mixture quantile normalization (BMIQ)","",""
"s12979-025-00500-4","Lin","2025","Immunity & Ageing","USA; China","10.1186/s12979-025-00500-4","Observational; cross-sectional and cohort analyses","12973.0","41.0","Psoriasis","Psoriasis status; Psoriasis Area and Severity Index (PASI)","Disease status and severity","Phenotypic age (PhenoAge); Klemera-Doubal method age (KDM-age)","PhenoAge advance (difference between biological and chronological age)","Adjusted beta coefficient","0.54","0.12","0.97","","0.018","Model 3: adjusted for age, gender, race/ethnicity, education, income, physical activity, BMI, smoking, alcohol use, diabetes, hypertension, renal disease, liver disease, thyroid disease, cardiac disease, cancer","Age, gender, race/ethnicity, education, income, physical activity, BMI, smoking, alcohol use, diabetes, hypertension, renal disease, liver disease, thyroid disease, cardiac disease, cancer","","0.54",""
